condition,method,metric,N,mean,SD,median,Q1,Q3,bootstrap_95ci_low,bootstrap_95ci_high
FP_25,FULL_PCC,predicted_positive_voxels,40,50702.715,30940.869503565864,43312.899999999994,26134.9,76120.6,41671.448875,60227.76199999999
FP_25,NO_SMOOTHING_PCC,dice_topk,40,0.49776172762539794,0.17588706613886154,0.5110182216742019,0.3774404424878623,0.5881601013287145,0.44520139842225026,0.5526899205463476
FP_25,NO_SMOOTHING_PCC,iou_topk,40,0.3505874544951247,0.1710813348265936,0.34319997186335327,0.23263222737599215,0.4166808954163536,0.3007748331763905,0.40601849551176633
FP_25,NO_SMOOTHING_PCC,dice_fixed05,40,0.3252216261819084,0.1791962642340972,0.3104379680602096,0.18065284806250922,0.39946582653632734,0.27199422820906066,0.3817742005251935
FP_25,NO_SMOOTHING_PCC,iou_fixed05,40,0.2088536912512032,0.14214303884269733,0.18375160776890515,0.09933097421816031,0.24958291947677197,0.167834957653991,0.25411294355114966
FP_25,NO_SMOOTHING_PCC,target_mass,40,14879.349771118164,15243.481994144367,9761.55419921875,3479.9865112304688,18839.05078125,10516.03370918274,19722.368827133178
FP_25,NO_SMOOTHING_PCC,false_guidance_mass,40,489.22770120620726,391.71949863165884,382.4429229736328,162.3347282409668,771.2846527099609,375.73768568706515,612.1762674498557
FP_25,NO_SMOOTHING_PCC,outside_clean_target_mass,40,35091.63318603516,22070.7186528502,30475.4466796875,20066.04814453125,49243.8921875,28512.68243109131,42001.165081665036
FP_25,NO_SMOOTHING_PCC,predicted_positive_voxels,40,45728.94,28184.425583560896,38725.2,23074.35,69293.4,37177.23500000001,54651.92974999999
MIXED,FULL_PCC,dice_topk,40,0.33275475996139303,0.1674463657291604,0.333740220675845,0.19975677037094075,0.45459091002382845,0.2829150068540406,0.3849300556428056
MIXED,FULL_PCC,iou_topk,40,0.21278610422739863,0.13614557391592777,0.20032464113253456,0.11100613417695741,0.2941907482668774,0.17443221088684308,0.2562177169183927
MIXED,FULL_PCC,dice_fixed05,40,0.25412239773196255,0.1591579280491331,0.2333252313816718,0.11845419994645412,0.3355778112486699,0.20742414584024382,0.3052830350250313
MIXED,FULL_PCC,iou_fixed05,40,0.15613069536130128,0.12010048903705996,0.13210608295903442,0.06296242948119436,0.20162386001299332,0.12168653273781876,0.19649165035317673
MIXED,FULL_PCC,target_mass,40,12360.87448384603,13700.028266413274,7227.909163411458,2475.921278889974,15004.26953125,8569.629842249551,16725.817556722002
MIXED,FULL_PCC,false_guidance_mass,40,814.9883753204346,756.9197573565531,478.96423492431643,269.40099411010743,1247.2565750122071,601.9109707105955,1057.7508466760319
MIXED,FULL_PCC,outside_clean_target_mass,40,39282.36617594401,24138.370912964907,33843.2578125,22646.708561197916,53223.0994140625,31996.8820395813,46953.0880637919
MIXED,FULL_PCC,predicted_positive_voxels,40,49278.35083333334,30726.611298625307,41807.51666666666,25486.49166666667,71824.84166666667,40315.88004166667,58840.64327083334
MIXED,NO_SMOOTHING_PCC,dice_topk,40,0.3346961752311793,0.17029455769090043,0.32987277425415207,0.19564769029656076,0.4605737773995012,0.28458384445864676,0.38820479787856016
MIXED,NO_SMOOTHING_PCC,iou_topk,40,0.21459729853669235,0.13654863195918143,0.19766849200451778,0.10847227155898412,0.299410989674402,0.1747207509396241,0.2582860863764168
MIXED,NO_SMOOTHING_PCC,dice_fixed05,40,0.26157849177983006,0.16462219359184047,0.23027605837699489,0.12437772249549864,0.3409350032543744,0.2132822899415535,0.31522982102388597
MIXED,NO_SMOOTHING_PCC,iou_fixed05,40,0.16205462714808416,0.12651255875736794,0.13025030363225915,0.06632138318835795,0.20553814075251978,0.12557731728558177,0.2029167799291424
MIXED,NO_SMOOTHING_PCC,target_mass,40,11740.337574361165,13141.596216882628,6844.170564778646,2306.0356394449873,14163.77080078125,8095.497962225596,16037.531449297587
MIXED,NO_SMOOTHING_PCC,false_guidance_mass,40,1269.2622338358563,1075.2475532904716,807.4981109619141,452.85281969706216,1948.2464975992839,957.682662381808,1614.9360156335829
MIXED,NO_SMOOTHING_PCC,outside_clean_target_mass,40,35427.51242472331,22139.774099105452,30560.39547526042,20263.394694010414,49646.39388020833,28971.047735239667,42331.56550076293
MIXED,NO_SMOOTHING_PCC,predicted_positive_voxels,40,43207.33416666667,28242.558313093043,36448.73333333334,21549.233333333334,63626.11666666666,34866.95041666667,52181.6555
PARTIAL_25,FULL_PCC,dice_topk,40,0.32372225537501925,0.1641362693263026,0.3150063162784368,0.20184651062316797,0.43993323361161807,0.2765417290940611,0.3759876693129105
PARTIAL_25,FULL_PCC,iou_topk,40,0.2056780070724879,0.1330845075932169,0.18694816119023214,0.11226134633933295,0.28199964710025927,0.16743562318351832,0.24907368851749773
PARTIAL_25,FULL_PCC,dice_fixed05,40,0.25053896493012384,0.15915778056391194,0.21987540596765248,0.11778120441128503,0.325300194589345,0.20508033035563666,0.30075855688638786
PARTIAL_25,FULL_PCC,iou_fixed05,40,0.15383784892583147,0.12100789726995875,0.1235222369587463,0.06257885808842402,0.19425014816330194,0.11950728958463942,0.1930921704721173
PARTIAL_25,FULL_PCC,target_mass,40,11795.982041931153,13267.926142203833,6934.47900390625,2315.3768310546875,14319.636962890625,8091.000334930421,16034.067251930237
PARTIAL_25,FULL_PCC,false_guidance_mass,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARTIAL_25,FULL_PCC,outside_clean_target_mass,40,38217.105786132815,23706.787389058263,33205.455078125,21767.1123046875,52193.8271484375,31147.822042541506,45705.84829589844
PARTIAL_25,FULL_PCC,predicted_positive_voxels,40,47541.275,30124.76141493989,40421.5,23878.5,69069.75,38672.390625,57172.67249999999
PARTIAL_25,NO_SMOOTHING_PCC,dice_topk,40,0.33224127673676224,0.15910822085085044,0.3267123747405716,0.2109908726814415,0.43482369757211803,0.2851273051147395,0.3821644766558243
PARTIAL_25,NO_SMOOTHING_PCC,iou_topk,40,0.210967046570698,0.12770449017093297,0.1952517883388862,0.11795073820804285,0.277849723717012,0.17343690764236272,0.252570083523541
PARTIAL_25,NO_SMOOTHING_PCC,dice_fixed05,40,0.2510074540489735,0.16274923593097845,0.21915135873605412,0.12055713267801252,0.32873688305507853,0.20362861010138095,0.3032419167340648
PARTIAL_25,NO_SMOOTHING_PCC,iou_fixed05,40,0.15476475800064518,0.12523905441529362,0.12306390171423004,0.06414649684734702,0.19678448283747416,0.11879880422015493,0.19645095700676146
PARTIAL_25,NO_SMOOTHING_PCC,target_mass,40,10986.671459960937,12515.914686888038,6489.627197265625,2098.1188354492188,13463.548828125,7522.389287109375,15082.868992691041
PARTIAL_25,NO_SMOOTHING_PCC,false_guidance_mass,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARTIAL_25,NO_SMOOTHING_PCC,outside_clean_target_mass,40,34807.170471191406,22018.065093985064,30266.23828125,19741.84326171875,49009.19140625,28338.777617797852,41745.267300415035
PARTIAL_25,NO_SMOOTHING_PCC,predicted_positive_voxels,40,41936.375,27989.908277245027,35203.5,20428.25,60650.75,33745.925,50791.409374999996
PARTIAL_50,FULL_PCC,dice_topk,40,0.3491819000755053,0.17049433522895496,0.3429842354867235,0.2192788219939305,0.4663558096759517,0.2976223797856957,0.40202622392143894
PARTIAL_50,FULL_PCC,iou_topk,40,0.22561972938452798,0.14172962676756598,0.2069891616174906,0.12314112158040548,0.30409023513682654,0.18379844261918674,0.2710089834062907
PARTIAL_50,FULL_PCC,dice_fixed05,40,0.26038894911434307,0.16119551899066345,0.2418690938886841,0.12348489568567433,0.34249429146669796,0.21284577522953343,0.3111824930312724
PARTIAL_50,FULL_PCC,iou_fixed05,40,0.16064706121708483,0.12257237349144119,0.1375745125998329,0.06580823286180376,0.2066399350067548,0.12582979573033487,0.20147100898302553
PARTIAL_50,FULL_PCC,target_mass,40,12546.963076782227,13827.373450509287,7327.133056640625,2559.4658813476562,15225.999755859375,8603.746736984252,17039.024130172726
PARTIAL_50,FULL_PCC,false_guidance_mass,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARTIAL_50,FULL_PCC,outside_clean_target_mass,40,38449.90539550781,23770.29428950963,33330.6767578125,21891.435546875,52472.91015625,31417.72256591797,45944.713634338375
PARTIAL_50,FULL_PCC,predicted_positive_voxels,40,48359.9,30239.192526527728,41180.0,24449.0,70649.0,39443.834375000006,57611.739375
PARTIAL_50,NO_SMOOTHING_PCC,dice_topk,40,0.3885918322060681,0.1595411583006261,0.37410381331777154,0.28252488966956496,0.4878219737776533,0.34246522312850286,0.4395158064514623
PARTIAL_50,NO_SMOOTHING_PCC,iou_topk,40,0.2540520743240714,0.13516697044340706,0.23010139315318656,0.16452019476704333,0.32259800105411357,0.21521240071069542,0.2981630205037404
PARTIAL_50,NO_SMOOTHING_PCC,dice_fixed05,40,0.2758379445325593,0.1661877191067764,0.25610645851530767,0.13123133888910554,0.3508496624807723,0.22785516750173093,0.32983984923031573
PARTIAL_50,NO_SMOOTHING_PCC,iou_fixed05,40,0.1719710665154782,0.12887316626135087,0.1468885688286306,0.07022348392531659,0.21276556811502323,0.13496083085781302,0.21415238671257447
PARTIAL_50,NO_SMOOTHING_PCC,target_mass,40,12244.447698974609,13330.575808863781,7200.208984375,2488.5889892578125,14785.322021484375,8536.345799865723,16675.436287918088
PARTIAL_50,NO_SMOOTHING_PCC,false_guidance_mass,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARTIAL_50,NO_SMOOTHING_PCC,outside_clean_target_mass,40,34807.170471191406,22018.065093985064,30266.23828125,19741.84326171875,49009.19140625,28361.448792419433,41700.544133300784
PARTIAL_50,NO_SMOOTHING_PCC,predicted_positive_voxels,40,43061.375,27918.475910469424,36356.0,21699.0,63711.0,34792.946874999994,51854.007499999985
SHIFT_3,FULL_PCC,dice_topk,40,0.3684392010009529,0.17127513921471288,0.36299686423099475,0.24097492554005212,0.4824959646309791,0.3167095180859306,0.4213130199789713
SHIFT_3,FULL_PCC,iou_topk,40,0.24045721556167649,0.1442079837194099,0.22177078509880194,0.13736197139161066,0.31800739083765556,0.1989045868304825,0.2879032438058338
SHIFT_3,FULL_PCC,dice_fixed05,40,0.26993320771399393,0.16231377635186567,0.2635283168295335,0.13118608468065462,0.3476914239833981,0.22265685661452736,0.32034886409303853
SHIFT_3,FULL_PCC,iou_fixed05,40,0.16715147755926268,0.12277015408726137,0.15176929621791885,0.07020050176039108,0.2104504835121221,0.13206939976333995,0.20668888216905268
SHIFT_3,FULL_PCC,target_mass,40,13340.829067230225,14420.770339904764,7955.9305419921875,2841.7140299479165,16809.515991210938,9265.108112646738,17952.220708605448
SHIFT_3,FULL_PCC,false_guidance_mass,40,1692.783187039693,1760.8115447722073,962.3052520751953,483.23726081848145,2497.6642659505205,1196.8275325973827,2267.892295311292
SHIFT_3,FULL_PCC,outside_clean_target_mass,40,39165.91372070312,23904.746878308673,33630.6953125,22299.03279622396,53260.809244791664,32083.605248718257,46760.958067016596
SHIFT_3,FULL_PCC,predicted_positive_voxels,40,49615.8125,30571.230048197463,42536.16666666667,24981.583333333332,73277.5,40388.56114583333,59072.71083333332
SHIFT_3,NO_SMOOTHING_PCC,dice_topk,40,0.3800016691899506,0.1724534156020525,0.36392428599389043,0.25248534838289555,0.5012481673252341,0.32831443973183155,0.4346266666871466
SHIFT_3,NO_SMOOTHING_PCC,iou_topk,40,0.24982802021009887,0.1449643585155181,0.2225170740986877,0.1448311784448025,0.33457959795798603,0.20702620627995957,0.2954282632012816
SHIFT_3,NO_SMOOTHING_PCC,dice_fixed05,40,0.28536159586202925,0.16914519875661663,0.2808748155202234,0.1388372965845512,0.37168742872808125,0.2352644286374559,0.33869049594899875
SHIFT_3,NO_SMOOTHING_PCC,iou_fixed05,40,0.17886418947615534,0.13029938045830014,0.16341928987230195,0.0746181577467293,0.22828220569071514,0.1411007398564506,0.22010696696853113
SHIFT_3,NO_SMOOTHING_PCC,target_mass,40,13110.350162506104,14180.999868469326,7843.454182942708,2784.3104858398438,16647.616373697918,9080.984861316683,17756.484983107246
SHIFT_3,NO_SMOOTHING_PCC,false_guidance_mass,40,2122.5960284074145,2087.0637393126494,1257.7407175699868,625.7450542449951,3050.1006469726562,1524.9819549500942,2808.385213143031
SHIFT_3,NO_SMOOTHING_PCC,outside_clean_target_mass,40,35745.28320922852,22148.804474830988,30615.561197916668,20357.25439453125,50030.68798828125,29259.86231674194,42794.09555425008
SHIFT_3,NO_SMOOTHING_PCC,predicted_positive_voxels,40,44794.283333333326,28477.967251084585,37594.916666666664,22214.041666666668,68725.83333333334,36305.19072916667,53991.371458333335
