condition,metric,N,mean,SD,median,Q1,Q3,bootstrap_95ci_low,bootstrap_95ci_high,family,method,evaluation_mode
FULL_PCC,iou,40,0.25657411219916976,0.15010497062885392,0.2326364630461027,0.15240340790608267,0.3277877622527373,0.2131277602785412,0.30553646719841127,mechanism,,
GLOBAL_DISCREPANCY,dice,40,0.39322673515301176,0.1714978248066687,0.3786466054545023,0.2786469540144292,0.49829997289273187,0.3410055061355568,0.44774499786358746,mechanism,,
GLOBAL_DISCREPANCY,iou,40,0.26007688764874237,0.1493557439376699,0.2335373989312576,0.16188735075897556,0.3318499026276281,0.21610500353896503,0.30921142336005675,mechanism,,
NAIVE,dice,40,0.27500138991244916,0.16735708936803684,0.2643151141514357,0.15457454285931635,0.39409031704592284,0.22482207388836353,0.3280536227827286,mechanism,,
NAIVE,iou,40,0.1714655093485256,0.12877942814189508,0.1523347248903134,0.0837609666173107,0.24540088485923514,0.13452978945376068,0.21425835375980826,mechanism,,
NO_ERROR_GUIDED_TERM,dice,40,0.28807542785274454,0.16609163800542953,0.2717145150435562,0.16296507290500262,0.41257797576110855,0.2391787386634046,0.34047033659999304,mechanism,,
NO_ERROR_GUIDED_TERM,iou,40,0.1805115397879491,0.13090428453193412,0.15724931964574096,0.08871104648226841,0.2599050215901637,0.1427764495168581,0.22288950446810263,mechanism,,
NO_OUTSIDE_SUPPRESSION,dice,40,0.36124881606469395,0.1783961471757867,0.3648097254845589,0.22398566567481387,0.4674398796645586,0.3073773621309569,0.4169294730073227,mechanism,,
NO_OUTSIDE_SUPPRESSION,iou,40,0.23582878532160273,0.1467782736392715,0.223107813079505,0.12612524908292833,0.30501843925470984,0.19363118480500044,0.2834812287138274,mechanism,,
NO_SMOOTHING,dice,40,0.5001397076361601,0.17635167273893507,0.5133707035864199,0.378782574342467,0.5945198148192297,0.4466413800239759,0.5544621884725907,mechanism,,
NO_SMOOTHING,iou,40,0.35286069087298594,0.17180273126063633,0.34532706485859244,0.23365009788676036,0.423088592244941,0.3023495498303292,0.4071035595266916,mechanism,,
ONE_ROUND,dice,40,0.28760688178401106,0.16747002723291068,0.2811242554693285,0.16552596999284977,0.4116970456659384,0.2386907026246377,0.34056704893415435,mechanism,,
ONE_ROUND,iou,40,0.18026939500659012,0.13065431990243387,0.1635729467878774,0.09023087113421197,0.25921632196780225,0.1432067595026242,0.22148687241508055,mechanism,,
FIXED_P0,dice,40,0.2762071661327381,0.16648155812622573,0.26824731584193473,0.1605030356699344,0.39412070110037045,0.22718335196982162,0.3283168501329602,counterfactual,,
FIXED_P0,iou,40,0.17217822095393448,0.12831041248513567,0.15493534141934123,0.08725397321039535,0.24542442636452688,0.13491417837561218,0.21256595371464979,counterfactual,,
FULL_PCC,dice,40,0.3884208514831534,0.1735083320190867,0.37746157603644065,0.2644963101871098,0.49369194950449413,0.336739031093995,0.44278639014116333,counterfactual,,
FULL_PCC,iou,40,0.25657411219916976,0.15010497062885392,0.2326364630461027,0.15240340790608267,0.3277877622527373,0.2131277602785412,0.30553646719841127,counterfactual,,
NAIVE,dice,40,0.27500138991244916,0.16735708936803684,0.2643151141514357,0.15457454285931635,0.39409031704592284,0.22482207388836353,0.3280536227827286,counterfactual,,
NAIVE,iou,40,0.1714655093485256,0.12877942814189508,0.1523347248903134,0.0837609666173107,0.24540088485923514,0.13452978945376068,0.21425835375980826,counterfactual,,
SHUFFLED_TARGET_PCC,dice,40,0.2836476005154692,0.17563235556277815,0.26250598260819247,0.1576038130471964,0.39350132678566446,0.23384061613283408,0.34001188777694596,counterfactual,,
SHUFFLED_TARGET_PCC,iou,40,0.1797594214224787,0.14768096050464122,0.15108898869257525,0.08554478430033335,0.24494441844904866,0.13922631107443018,0.22891954126980635,counterfactual,,
CLEAN,dice,40,0.5328409652946808,0.2266652363916809,0.570031940187792,0.35484291000927654,0.6960736161457471,0.46356734770268104,0.6004636960050399,imperfect_guidance,EIA_BLEND_075,
CLEAN,iou,40,0.3954379566090921,0.21642257631964407,0.39864841162336656,0.21568941107573622,0.533897975387873,0.3288300369677196,0.46163415986553563,imperfect_guidance,EIA_BLEND_075,
