family,evaluation,metric,comparison,reference,N,mean,SD,median,Q1,Q3,bootstrap_95ci_low,bootstrap_95ci_high,wilcoxon_p_two_sided,cohens_dz,positive,zero,negative,positive_rate_exact_ci_low,positive_rate_exact_ci_high,holm_adjusted_p
target_independent:fixed_0.5_and_probability:dice_fixed,fixed_0.5_and_probability,dice_fixed,EIA_BLEND_075,FULL_PCC,40,-0.03151726487239133,0.014379235713671798,-0.030557973568082236,-0.04075150419865874,-0.02529288974432884,-0.035894928559321804,-0.0271530665735945,1.8189894035458565e-12,-2.191859532730566,0,0,40,0.0,0.08809730287880335,1.2732925824820995e-11
target_independent:fixed_0.5_and_probability:dice_fixed,fixed_0.5_and_probability,dice_fixed,EIA_BLEND_090,FULL_PCC,40,-0.04225688965891888,0.017883946460825438,-0.043405378688768204,-0.05358461351266931,-0.03222687421703151,-0.047730779230991345,-0.036817740617300046,1.8189894035458565e-12,-2.362839194999944,0,0,40,0.0,0.08809730287880335,1.2732925824820995e-11
target_independent:fixed_0.5_and_probability:dice_fixed,fixed_0.5_and_probability,dice_fixed,EIA_LINEAR,FULL_PCC,40,-0.033891490594943875,0.01337404433215954,-0.03581677284881184,-0.043458095241000125,-0.02556905611829543,-0.03792388698195692,-0.029698777870709143,1.8189894035458565e-12,-2.5341242897967375,0,0,40,0.0,0.08809730287880335,1.2732925824820995e-11
target_independent:fixed_0.5_and_probability:dice_fixed,fixed_0.5_and_probability,dice_fixed,EIA_MORPH,FULL_PCC,40,-0.019315189504422185,0.0298303894523611,-0.024464147048194884,-0.042675732420428505,-0.004637183210023779,-0.028050037042400167,-0.00986932435136725,4.404162064020056e-05,-0.6475004134715838,7,0,33,0.07338272935208498,0.32779013336159446,4.404162064020056e-05
target_independent:fixed_0.5_and_probability:dice_fixed,fixed_0.5_and_probability,dice_fixed,FIXED,FULL_PCC,40,-0.04723899190604533,0.019759035283208534,-0.047915191238146394,-0.06141207595207546,-0.03544689666716207,-0.053107660913156725,-0.04105661139865284,1.8189894035458565e-12,-2.390753962881457,0,0,40,0.0,0.08809730287880335,1.2732925824820995e-11
target_independent:fixed_0.5_and_probability:dice_fixed,fixed_0.5_and_probability,dice_fixed,NAIVE,FULL_PCC,40,-0.04724040008143813,0.01975831258131414,-0.047922652634063645,-0.06141856441968801,-0.03544907656445946,-0.05319361581187176,-0.041079481943866736,1.8189894035458565e-12,-2.3909126797657,0,0,40,0.0,0.08809730287880335,1.2732925824820995e-11
target_independent:fixed_0.5_and_probability:dice_fixed,fixed_0.5_and_probability,dice_fixed,NO_SMOOTHING,FULL_PCC,40,0.05049051521977625,0.027676175656839552,0.04897867892667501,0.029426195822488614,0.07169404175711522,0.04222157241777048,0.05888491111956512,1.8189894035458565e-12,1.8243313615947023,40,0,0,0.9119026971211966,1.0,1.2732925824820995e-11
target_independent:fixed_0.5_and_probability:iou_fixed,fixed_0.5_and_probability,iou_fixed,EIA_BLEND_075,FULL_PCC,40,-0.022245423184003417,0.011671618198789197,-0.02118140656661374,-0.03166842989355791,-0.0146588212334642,-0.02573743903279778,-0.018617725666512066,1.8189894035458565e-12,-1.9059416445194495,0,0,40,0.0,0.08809730287880335,1.2732925824820995e-11
target_independent:fixed_0.5_and_probability:iou_fixed,fixed_0.5_and_probability,iou_fixed,EIA_BLEND_090,FULL_PCC,40,-0.02983499785443914,0.015595909739091642,-0.0281984396395124,-0.041024988288423415,-0.018573690656414177,-0.03465200046546267,-0.025140018443359703,1.8189894035458565e-12,-1.9130014441964083,0,0,40,0.0,0.08809730287880335,1.2732925824820995e-11
target_independent:fixed_0.5_and_probability:iou_fixed,fixed_0.5_and_probability,iou_fixed,EIA_LINEAR,FULL_PCC,40,-0.024201693797100503,0.012753502844759323,-0.023344534805742112,-0.0329592498857809,-0.015408530353455505,-0.028155700628110736,-0.020287808657507875,1.8189894035458565e-12,-1.8976507153911428,0,0,40,0.0,0.08809730287880335,1.2732925824820995e-11
target_independent:fixed_0.5_and_probability:iou_fixed,fixed_0.5_and_probability,iou_fixed,EIA_MORPH,FULL_PCC,40,-0.014161307461654418,0.020841928295070714,-0.01588800697610354,-0.03161217163952323,-0.002510869194827325,-0.020299574047002434,-0.007684243845474304,3.061662209802307e-05,-0.6794624403829123,7,0,33,0.07338272935208498,0.32779013336159446,3.061662209802307e-05
target_independent:fixed_0.5_and_probability:iou_fixed,fixed_0.5_and_probability,iou_fixed,FIXED,FULL_PCC,40,-0.03333587593786137,0.017609484493539107,-0.031975011407443854,-0.04544755191940842,-0.020550778576066332,-0.0388248865707552,-0.027970909190016883,1.8189894035458565e-12,-1.893063703829164,0,0,40,0.0,0.08809730287880335,1.2732925824820995e-11
target_independent:fixed_0.5_and_probability:iou_fixed,fixed_0.5_and_probability,iou_fixed,NAIVE,FULL_PCC,40,-0.033336944734580466,0.01761017756295407,-0.03197991453784106,-0.045435015193665516,-0.020554586308834097,-0.038883932694650826,-0.02814220851036047,1.8189894035458565e-12,-1.8930498920527785,0,0,40,0.0,0.08809730287880335,1.2732925824820995e-11
target_independent:fixed_0.5_and_probability:iou_fixed,fixed_0.5_and_probability,iou_fixed,NO_SMOOTHING,FULL_PCC,40,0.038355770952226684,0.024592205534143576,0.03474651537322916,0.016943022553222324,0.055354884645615096,0.03082915461132199,0.04597171052050501,1.8189894035458565e-12,1.5596718602149737,40,0,0,0.9119026971211966,1.0,1.2732925824820995e-11
target_independent:fixed_0.5_and_probability:soft_dice,fixed_0.5_and_probability,soft_dice,EIA_BLEND_075,FULL_PCC,40,0.011445250498369506,0.03813648966990348,-0.003506016037740388,-0.01014113140687151,0.03008829019026457,0.00010497891479268207,0.02389964216470013,0.5185272742000961,0.3001128472346488,17,0,23,0.270429031268837,0.5910994195730367,1.0
target_independent:fixed_0.5_and_probability:soft_dice,fixed_0.5_and_probability,soft_dice,EIA_BLEND_090,FULL_PCC,40,-0.02424081301693849,0.016700005226081668,-0.021543555765264018,-0.03704947257922797,-0.013272278789322007,-0.029283152923828423,-0.019143608378446645,1.1641532182693481e-09,-1.451545235391889,2,0,38,0.006113646599346682,0.16919686395941763,4.6566128730773926e-09
target_independent:fixed_0.5_and_probability:soft_dice,fixed_0.5_and_probability,soft_dice,EIA_LINEAR,FULL_PCC,40,0.016308930353003882,0.049732726039297605,-0.004393878305443001,-0.012014779666684024,0.04379669949730642,0.0017855983113123249,0.0317373452013117,0.5536995567435952,0.3279315583890768,15,0,25,0.2272627224818259,0.541985247767389,1.0
target_independent:fixed_0.5_and_probability:soft_dice,fixed_0.5_and_probability,soft_dice,EIA_MORPH,FULL_PCC,40,-0.013364774619887262,0.03571108396856378,-0.013512827264750796,-0.037221419873111644,0.00319675961524591,-0.023593522536963507,-0.002065854280413409,0.011536851214259514,-0.3742472402028508,12,0,28,0.16562720439323564,0.4653162852541244,0.03461055364277854
