evaluation,method,metric,N_total,N_finite,mean,SD,median,Q1,Q3,bootstrap_95ci_low,bootstrap_95ci_high
crossfitted_threshold,NAIVE,specificity_fixed,40,40,0.9954406282082928,0.0035991231563088717,0.9962752635102798,0.9933669723757832,0.998119682520328,0.9942792177282993,0.9965111730639349
crossfitted_threshold,NAIVE,soft_dice,40,40,0.2280539648083158,0.15054643607774218,0.2112704416483908,0.09798337584154855,0.2954560409518387,0.1842206601842651,0.2765399483794198
crossfitted_threshold,NAIVE,brier_score,40,40,0.006859895610170491,0.003026973539716549,0.00646110044346305,0.004456677292175725,0.008962748748725224,0.005956522610301576,0.007816896079155165
crossfitted_threshold,NAIVE,average_precision,40,40,0.17712288453452055,0.15472950371304228,0.14930650817391586,0.0588242458672448,0.24139874889668517,0.13347097665490987,0.2275976483069215
crossfitted_threshold,NAIVE,target_probability_mass,40,40,12539.06800904423,14303.514846824737,7402.427878886461,2451.13465474546,15026.662183597682,8446.029795020297,17151.04287445102
crossfitted_threshold,NAIVE,outside_target_probability_mass,40,40,47177.651638785006,29759.981073441566,40913.42873677611,26479.69998151064,65280.91825266183,38325.60230944764,56512.59565210301
crossfitted_threshold,NAIVE,predicted_positive_voxels,40,40,51824.9,36982.8977368646,44417.0,22022.75,81699.25,40814.539375,63520.433124999996
crossfitted_threshold,NAIVE,volume_error_voxels,40,40,21514.2,48042.20872620562,15433.5,-2155.0,54807.75,6450.09375,36017.771874999984
crossfitted_threshold,NO_SMOOTHING,dice_fixed,40,40,0.3850225818756014,0.21473830504516306,0.35757261204125057,0.20516524279679194,0.5019559011481005,0.32098254232830964,0.4527167131310237
crossfitted_threshold,NO_SMOOTHING,iou_fixed,40,40,0.26309813954054273,0.19326415572955025,0.2177242991361451,0.11431953205620217,0.3351411243025265,0.2071278282366623,0.32465297157824685
crossfitted_threshold,NO_SMOOTHING,precision_fixed,40,40,0.6701109991998303,0.2932634641395011,0.7633752174525112,0.45439641415826315,0.9290533756008326,0.5782656781110675,0.7561693673831371
crossfitted_threshold,NO_SMOOTHING,recall_fixed,40,40,0.41981777872790793,0.30017123997389117,0.299632350469882,0.13063681508616576,0.7274037547539629,0.3270587113869312,0.511130551042389
crossfitted_threshold,NO_SMOOTHING,specificity_fixed,40,40,0.999542064088474,0.0006148293172430952,0.9997950762939953,0.9994584228214382,0.9999529431584631,0.9993354204094961,0.9997156916210064
crossfitted_threshold,NO_SMOOTHING,soft_dice,40,40,0.30945156070623653,0.1716954111405503,0.30212541676869825,0.18224531960304988,0.3939770182368503,0.25849273769128017,0.3633043190954102
crossfitted_threshold,NO_SMOOTHING,brier_score,40,40,0.0038531325669077,0.0019602598924239765,0.0034951734711370502,0.0023487904712739,0.004817403451139325,0.0032805126188293126,0.004463492086587708
crossfitted_threshold,NO_SMOOTHING,average_precision,40,40,0.5231435278147645,0.20241743002203985,0.518723843461515,0.382499142537183,0.6517454172608723,0.4616220881476936,0.585647450760667
