case_id,condition,method,repeats,mean_dice,worst_dice,best_dice,mean_iou,worst_iou,best_iou
PatientID_0034_T1_to_T2_t1c,SHIFT_3,EIA_LINEAR,6,0.16991808134829176,0.1659488219956994,0.177349886093571,0.09285179283742744,0.0904821109144243,0.0973033084379617
PatientID_0034_T1_to_T2_t1c,SHIFT_3,PCC,6,0.30850434938242066,0.2827463897538958,0.3445654928623555,0.18257863991887177,0.1646503394563808,0.2081420264450349
PatientID_0035_T1_to_T2_t1c,FP_25,EIA_BLEND_075,5,0.6285503504927055,0.6285503504927055,0.6285503504927055,0.4583109199950751,0.4583109199950751,0.4583109199950751
PatientID_0035_T1_to_T2_t1c,FP_25,EIA_LINEAR,5,0.2740686095031227,0.2740686095031227,0.2740686095031227,0.1587946144135938,0.1587946144135938,0.1587946144135938
PatientID_0035_T1_to_T2_t1c,FP_25,PCC,5,0.3947620805247579,0.3946883070094635,0.3950571745859355,0.24592123869856802,0.2458639707615202,0.2461503104467593
PatientID_0035_T1_to_T2_t1c,MIXED,EIA_BLEND_075,30,0.45885896972970747,0.3921062339741596,0.534120250915876,0.29919346255266,0.2438632715659868,0.3643683947246179
PatientID_0035_T1_to_T2_t1c,MIXED,EIA_LINEAR,30,0.26702323879250767,0.2648469200913229,0.2696421985854588,0.15408488175958343,0.1526360546019056,0.1558303135459751
PatientID_0035_T1_to_T2_t1c,MIXED,PCC,30,0.3313414485433404,0.3212836592915375,0.3526374032916567,0.19862224878458093,0.1913865086373573,0.2140618004446793
PatientID_0035_T1_to_T2_t1c,PARTIAL_25,EIA_BLEND_075,1,0.5311693103041001,0.5311693103041001,0.5311693103041001,0.3616273231136044,0.3616273231136044,0.3616273231136044
PatientID_0035_T1_to_T2_t1c,PARTIAL_25,EIA_LINEAR,1,0.2674289931266269,0.2674289931266269,0.2674289931266269,0.1543538430584726,0.1543538430584726,0.1543538430584726
PatientID_0035_T1_to_T2_t1c,PARTIAL_25,PCC,1,0.3139063077620977,0.3139063077620977,0.3139063077620977,0.186173703962771,0.186173703962771,0.186173703962771
PatientID_0035_T1_to_T2_t1c,PARTIAL_50,EIA_BLEND_075,1,0.5285872372687961,0.5285872372687961,0.5285872372687961,0.3592379043972831,0.3592379043972831,0.3592379043972831
PatientID_0035_T1_to_T2_t1c,PARTIAL_50,EIA_LINEAR,1,0.2685355958560428,0.2685355958560428,0.2685355958560428,0.1550916064859199,0.1550916064859199,0.1550916064859199
PatientID_0035_T1_to_T2_t1c,PARTIAL_50,PCC,1,0.3426779787269129,0.3426779787269129,0.3426779787269129,0.206766080746324,0.206766080746324,0.206766080746324
PatientID_0035_T1_to_T2_t1c,SHIFT_3,EIA_BLEND_075,6,0.5057789254569447,0.3511619329857687,0.6137956474338259,0.3422075920249248,0.2129753916749495,0.4427887175511473
PatientID_0035_T1_to_T2_t1c,SHIFT_3,EIA_LINEAR,6,0.2710561909619348,0.2681667282795709,0.2733308743501787,0.15677660043400246,0.1548455805846974,0.1582995088318095
PatientID_0035_T1_to_T2_t1c,SHIFT_3,PCC,6,0.35946145345638847,0.3434157138798569,0.3692364442328962,0.21914964518761695,0.2073034960571579,0.2264193623102421
PatientID_0036_T1_to_T2_t1c,FP_25,EIA_BLEND_075,5,0.562833423675842,0.5627335748754547,0.5629332724762293,0.39162713483484657,0.3915304532568004,0.3917238230479148
PatientID_0036_T1_to_T2_t1c,FP_25,EIA_LINEAR,5,0.5629646535277796,0.562833423675842,0.5630331212766165,0.39175421803809984,0.3916271314350634,0.3918205280981555
PatientID_0036_T1_to_T2_t1c,FP_25,PCC,5,0.38913930334501223,0.3890251904302839,0.3892391521453995,0.24157228988506851,0.2414843411112062,0.2416492508302783
PatientID_0036_T1_to_T2_t1c,MIXED,EIA_BLEND_075,30,0.49997717742062026,0.4869483353815154,0.5090577126101256,0.33333961547780366,0.3218319286599748,0.3414335463688585
PatientID_0036_T1_to_T2_t1c,MIXED,EIA_LINEAR,30,0.5001673656118341,0.48714803298229,0.5093572590112874,0.3335097191544713,0.3220064114716009,0.3417031090079548
PatientID_0036_T1_to_T2_t1c,MIXED,PCC,30,0.3363720651632073,0.3270761418471523,0.3426097623645436,0.20220189378893527,0.195511672727311,0.2067164114946105
PatientID_0036_T1_to_T2_t1c,PARTIAL_25,EIA_BLEND_075,1,0.4576498445250217,0.4576498445250217,0.4576498445250217,0.2967224030843378,0.2967224030843378,0.2967224030843378
PatientID_0036_T1_to_T2_t1c,PARTIAL_25,EIA_LINEAR,1,0.4613870424823739,0.4613870424823739,0.4613870424823739,0.299872063492668,0.299872063492668,0.299872063492668
PatientID_0036_T1_to_T2_t1c,PARTIAL_25,PCC,1,0.3145379853413792,0.3145379853413792,0.3145379853413792,0.1866182581462021,0.1866182581462021,0.1866182581462021
PatientID_0036_T1_to_T2_t1c,PARTIAL_50,EIA_BLEND_075,1,0.5186146692186216,0.5186146692186216,0.5186146692186216,0.3500876230154824,0.3500876230154824,0.3500876230154824
