relative_path,file_name,file_type,size_bytes,sha256,category,large_artifact,source
01_mechanism_ablation/cases/PatientID_0026_T1_to_T2_t1c/COMPLETE.json,COMPLETE.json,.json,146,1a88074423bfa52b7512a55ca3f60478675ab5cf89b47abf6d9e2c684c7d88e3,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0026_T1_to_T2_t1c/metrics.csv,metrics.csv,.csv,3622,4122332c0adba7a86e98a17d3b5271896c0a19ce8885b2c033d607578f1173d1,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0029_T1_to_T3_t1c/COMPLETE.json,COMPLETE.json,.json,146,5bb9b90ae2a27085bc7a6a76524f5406691f1ac5881c9c5ad37babcbbc44f069,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0029_T1_to_T3_t1c/metrics.csv,metrics.csv,.csv,3656,cc15d6ead6149a330350341598f6eda51e262bf8a0b42e7c15c425307060dc74,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0030_T1_to_T3_t1c/COMPLETE.json,COMPLETE.json,.json,146,4c246a32b975d274d5c6fce5eacb8cfbe0084fab75b6ace32a5dab3b0c817476,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0030_T1_to_T3_t1c/metrics.csv,metrics.csv,.csv,3640,625992fe99335e531841f0bd1e54d304698950347b8e498e7755d4f958a9df08,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0031_T2_to_T3_t1c/COMPLETE.json,COMPLETE.json,.json,146,f396fe9e9ca48d7325d3187ed303f5712395e99664c835f59429819bbd559dbf,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0031_T2_to_T3_t1c/metrics.csv,metrics.csv,.csv,3660,addf542e2ae02c6c702d1530833aab1292441c7fb31f76fb5897222f16aa71e9,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0032_T1_to_T2_t1c/COMPLETE.json,COMPLETE.json,.json,146,08a45ee0886ebfe727ed2bccf061451c3160726807400d07064386241541e587,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0032_T1_to_T2_t1c/metrics.csv,metrics.csv,.csv,3677,d43c65e2bb514cb48f80e4a99a4b6e1695299a78268a58aa62400a893dd9c4db,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0033_T1_to_T2_t1c/COMPLETE.json,COMPLETE.json,.json,146,625230dcbd854958bf5f058707a2dc4a0a8f5d4705f2d7279343b0a040f50f5d,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0033_T1_to_T2_t1c/metrics.csv,metrics.csv,.csv,3702,33b2fc2de875e775cecca96cde4826573af5af2baffb11414b9076416120c59d,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0034_T1_to_T2_t1c/COMPLETE.json,COMPLETE.json,.json,146,248473a70693a750580d80e6aa5878a13ff5aa52d878e0f14952cba26aac54c8,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0034_T1_to_T2_t1c/metrics.csv,metrics.csv,.csv,3631,0ef3c31c9d8956a66493840a00171fba4eafce246acb6e3350610ab416cb1d0b,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0035_T1_to_T2_t1c/COMPLETE.json,COMPLETE.json,.json,146,e379b7a7a69c5e8162150b7f3a84477e30560e05734357263f8752f6d98f6dc1,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0035_T1_to_T2_t1c/metrics.csv,metrics.csv,.csv,3620,46f17cd486cc0af730befdf8e237f06d2a84605b067daafc92fc560e9980c3cb,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0036_T1_to_T2_t1c/COMPLETE.json,COMPLETE.json,.json,146,5b301ccea4f104618762b8afce507c01c7cbb96816d02163b920ef28923f38f1,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0036_T1_to_T2_t1c/metrics.csv,metrics.csv,.csv,3649,7ec204b940a566eac6845d12806b66c154bd7abbb214771068a7885c795308b8,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0037_T1_to_T2_t1c/COMPLETE.json,COMPLETE.json,.json,146,1688ec30b915362c27d24d5304d3b416210b8a61906e0ab074a968655dc04c7c,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0037_T1_to_T2_t1c/metrics.csv,metrics.csv,.csv,3635,faec251650e6618933bbd1d21caee301c37b6f659fa80772720f634fbd1a5afc,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0038_T1_to_T2_t1c/COMPLETE.json,COMPLETE.json,.json,146,e666426e2c8cc83adbc6e1989ad5e7952b4c119cdba1d0bc8d290b6e62d081a6,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0038_T1_to_T2_t1c/metrics.csv,metrics.csv,.csv,3671,535d4fe99b1abf76e8007cb7444757e2dc7d25c142032b5d5735825cb0fe5d45,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0039_T1_to_T2_t1c/COMPLETE.json,COMPLETE.json,.json,146,d4b739cd7c35481695d3be91435f8384a6998e83a543abc0686c3e837a39fed4,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0039_T1_to_T2_t1c/metrics.csv,metrics.csv,.csv,3640,ffc42c75dee5dce908d7213138e108476b374f6ae7c37729818a229fd71317c4,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0041_T1_to_T2_t1c/COMPLETE.json,COMPLETE.json,.json,146,31e1a8c3759518cd3da7fc250805deab0d925e9c0e41fb3ee355d050dbabe249,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0041_T1_to_T2_t1c/metrics.csv,metrics.csv,.csv,3618,6b95c5ae7d1bad1b570d6bc93f9c667f8230fec63168196d00b49d6d6b4330c0,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0044_T1_to_T2_t1c/COMPLETE.json,COMPLETE.json,.json,146,50729e53690d5edb837e72a25628be20fd5af8011118291b140d09c978c6cc34,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0044_T1_to_T2_t1c/metrics.csv,metrics.csv,.csv,3637,eed12e85449b2cb7f313e6a3e0f5dbcc9aa4df7a04c57f5e24b4592a8957e1b3,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0045_T1_to_T2_t1c/COMPLETE.json,COMPLETE.json,.json,146,a3dfb695c79027072728434e82222f86572414ac66068dcc42c70944f284943e,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0045_T1_to_T2_t1c/metrics.csv,metrics.csv,.csv,3648,8a2ede3e9144367b7d179cfa6dfa0c9b1ea05b426a793e90499367370d006bea,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0051_T1_to_T3_t1c/COMPLETE.json,COMPLETE.json,.json,146,9daba3fef1da17c34bae2d4c2bf643e3d4c79e26bce8d80388b4719aaaf49ac3,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0051_T1_to_T3_t1c/metrics.csv,metrics.csv,.csv,3662,d1d4e7d3a2384d65d36e6cd125df8661e82c94b71ba9720ac55a55cf20a95fb9,01_mechanism_ablation,False,local_or_small_kaggle_output
